Homo sapiens,,,,,,,
Anopheles gambiae,,,,,,,
Plants, Microbes,,,,,,
Trichoderma reesei,,,,,,,
Homo sapiens, Fusobacterium nucleatum,,,,,,
Arabidopsis thaliana,,,,,,,
Homo sapiens, Saccharomyces cerevisiae,,,,,,
Asterina pectinifera,,,,,,,
Drosophila melanogaster,,,,,,,
Homo sapiens, Drosophila melanogaster,,,,,,
Acropora tenuis, Symbiodinium goreaui, Symbiodinium trenchii,,,,,
Candida albicans, Candida tropicalis,,,,,,
Gallus gallus,,,,,,,
Homo sapiens, Microbes,,,,,,
Triticum aestivum,,,,,,,
Epinephelus coioides,,,,,,,
Epinephelus coioides, Pseudomonas plecoglossicida,,,,,,
Crassostrea gigas,,,,,,,
Aspergillus flavus,,,,,,,
Oncorhynchus mykiss,,,,,,,
Danio rerio,,,,,,,
Cyclopterus lumpus,,,,,,,
Bos indicus,,,,,,,
Sebastes schlegelii,,,,,,,
Candida albicans,,,,,,,
Saccharomyces cerevisiae,,,,,,,
Cynoglossus semilaevis, Miichthys miiuy, Pimephales promelas, Epinephelus coioides, Chionodraco hamatus, Paralichthys olivaceus, Salmo salar, Ctenopharyngodon idella
Bos taurus,,,,,,,
Homo sapiens, Chlorocebus sabaeus, Canis familiaris, Gallus gallus, Mus musculus, Sus scrofa, Carinatae, Ratitae
Aplysia californica,,,,,,,
Ictidomys tridecemlineatus,,,,,,,
Drosophila,,,,,,,
Solanum viarum,,,,,,,
Arabidopsis,,,,,,,
Macrobrachium nipponense,,,,,,,
Pennisetum glaucum,,,,,,,
Microhyla fissipes,,,,,,,
Stylosanthes,,,,,,,
Homo sapiens, Hepatitis E Virus,,,,,,
Carassius gibelio,,,,,,,
Corynebacterium glutamicum,,,,,,,
Actinosynnema pretiosum,,,,,,,
Escherichia coli,,,,,,,
Bacillus amyloliquefaciens,,,,,,,
Plants,,,,,,,
Lonicera caerulea, Vaccinium corymbosum, Cudrania tricuspidata, Morus alba, Aronia melanocarpa, Rubus coreanus,,
Mycobacterium tuberculosis,,,,,,,
Cucumis sativus L.,,,,,,,
Sulfolobus tokodaii,,,,,,,
Clonostachys rosea,,,,,,,
Chlamydomonas reinhardtii,,,,,,,
Dendrobium officinale,,,,,,,
Azadirachta indica,,,,,,,
Escherichia coli,,,,,,,
Acremonium chrysogenum,,,,,,,
Camellia sinensis,,,,,,,
Arthrospira platensis C1,,,,,,,
Cymbidium faberi,,,,,,,
Podophyllum hexandrum,,,,,,,
Zygophyllum xanthoxylum,,,,,,,
